id,pleno_id,fecha,mandat_id,intervinient,entitat,entitat_id,tipus_entitat,idioma_original,ambit,zones,districtes,categorias,subcategorias,cap_major,cap_subtopics,resum_cas,resum_val
2026-03-31-010,2026-03-31,2026-03-31,2023-2027,Elvira Puchades Ridaura,Associació de Veïnes i Veïns la Torre,av-la-torre,av,castellano,barri,La Torre,Poblats del Sud,participacio|medi_ambient|drets_i_igualtat,participacio:participacio|participacio:transparencia|medi_ambient:dana_2024|drets_i_igualtat:drets_humans,7|14|19|20,711|2015|1906|1401,"La AVV la Torre critica duramente la gestión municipal y rechaza el nombramiento del concejal Marí Olano en la Comisión Mixta de la Dana, considerando que el gobierno actual carece de legitimidad para dialogar con las asociaciones vecinales, especialmente en la reconstrucción post-dana.","L'AVV la Torre critica severament la gestió municipal i rebutja el nomenament del regidor Marí Olano en la Comissió Mixta de la Dana, considerant que el govern actual manca de legitimitat per a dialogar amb les associacions veïnals, especialment en la reconstrucció post-dana."
2026-03-31-009,2026-03-31,2026-03-31,2023-2027,Teresa Giner Bens,AV Torrefiel,av-torrefiel,av,castellano,barri,Torrefiel,Rascanya,participacio|serveis_publics|drets_i_igualtat,participacio:participacio|participacio:processos_participatius|serveis_publics:esports|drets_i_igualtat:drets_humans,13|14|15|20,2000|1305|1526|1401,"Teresa Giner Bens, de la Asociación Vecinal de Torrefiel, defiende el papel fundamental de las asociaciones vecinales como primera línea de democracia participativa y solicita la dimisión del concejal José Marí Olano por no inspirar confianza. También reclama la construcción del campo de fútbol prometido para los niños de Torrefiel.","Teresa Giner Bens, de l'Associació Vecinal de Torrefiel, defensa el paper fonamental de les associacions veïnals com a primera línia de democràcia participativa i sol·licita la dimissió del concejal José Marí Olano per no inspirar confiança. A més, reclama la construcció del camp de futbol promès per als nens de Torrefiel."
2026-03-31-008,2026-03-31,2026-03-31,2023-2027,Juan Antonio Caballero Defez,Confederació d'Associacions Veïnals de la CV,confederacio-associacions-veinals-cv,av,castellano,ciutat,Benicalap,Benicalap,participacio|drets_i_igualtat|urbanisme,participacio:participacio|participacio:transparencia|drets_i_igualtat:drets_humans|urbanisme:espai_public,14|20,2000|1401,"Juan Antonio Caballero Defez, en representación de la Confederación de Asociaciones Vecinales de la Comunidad Valenciana, rechaza las críticas del concejal José Marí Olano hacia el movimiento vecinal, destacando su importancia histórica en la ciudad y subrayando que cuenta con el reconocimiento del Congreso de los Diputados con un 90% de apoyo.","Juan Antonio Caballero Defez, en representació de la Confederació d'Associacions Veïnals de la Comunitat Valenciana, rebutja les crítiques del regidor José Marí Olano cap al moviment veïnal, destacant la seua importància històrica en la ciutat i subratllant que compta amb el reconeixement del Congrés dels Diputats amb un 90% d'apoio."
2026-03-31-007,2026-03-31,2026-03-31,2023-2027,María Amparo Puchades Giner,AV Dehesa D26,av-dehesa-d26,av,valenciano,barri,Castellar-L'Oliveral,Poblats del Sud,participacio|urbanisme|medi_ambient,participacio:participacio|participacio:processos_participatius|urbanisme:espai_public|urbanisme:patrimoni|medi_ambient:dana_2024|medi_ambient:zones_verdes,7|14|15|20,1401|2015|711|1526,"La Asociación Vecinal de Castellar-L'Oliveral reclama una participación real en las decisiones que afectan su territorio, recordando las compensaciones históricas no pagadas tras el Plan Sur y criticando la presión inmobiliaria sobre la Horta Sur sin medidas de protección adecuadas.","L'associació veïnal de Castellar-L'Oliveral reclama una participació real en les decisions que afecten el seu territori, recordant les compensacions històriques no pagades després del Pla Sud i criticant la pressió immobiliària sobre l'Horta Sud sense mesures de protecció adequades."
2026-03-31-006,2026-03-31,2026-03-31,2023-2027,Rafael Guillem Fernández,Asociación de Vecinos de San Antonio-Zaidía,asociacion-vecinos-san-antonio-zaidia,av,castellano,barri,Sant Antoni,La Saïdia,participacio|urbanisme|drets_i_igualtat,participacio:participacio|participacio:consells_sectorials|urbanisme:espai_public|urbanisme:habitatge|drets_i_igualtat:drets_humans,14|20,2000|1400|1401,"Rafael Guillem Fernández, representante de la Asociación de Vecinos de San Antonio-Zaidía, denuncia al concejal Olano por cuestionar la representatividad de las entidades ciudadanas y exige su dimisión, destacando la labor histórica de las asociaciones vecinales en la defensa de los intereses del barrio.","Rafael Guillem Fernández, representant de l'Associació de Veïnes de Sant Antoni-Zaidía, denuncia al regidor Olano per qüestionar la representativitat de les entitats ciudadanes i exigeix la seua dimissió, destacant la tasca històrica de les associacions veïnals en la defensa dels interessos del barri."
2026-03-31-005,2026-03-31,2026-03-31,2023-2027,Lluís Vallés Peris,AV Barri de Sant Marcel·lí,av-barri-sant-marcelí,av,valenciano,barri,Sant Marcel·lí,Jesús,participacio|drets_i_igualtat,participacio:participacio|participacio:processos_participatius|participacio:transparencia|drets_i_igualtat:drets_humans,14|20,2015|1401|2000,"La Asociación Vecinal de Sant Marcel·lí rechaza las declaraciones del concejal José Marí Olano que desacreditaron a las asociaciones vecinales como actores válidos en la participación ciudadana, argumentando que el movimiento vecinal es esencial para la democracia, el control del poder y la mejora de los servicios públicos.","L'Associació Veïnal de Sant Marcel·lí rebutja les declaracions del regidor José Marí Olano que desacreditaren les associacions veïnals com a actors vàlids en la participació ciutadana, argumentant que el moviment veïnal és essencial per a la democràcia, el control del poder i la millora dels serveis públics."
2026-03-31-004,2026-03-31,2026-03-31,2023-2027,María Rosa Jover Cerdá,AV Malilla,av-malilla,av,mixt,barri,Malilla,Quatre Carreres,participacio|drets_i_igualtat|medi_ambient,participacio:participacio|participacio:transparencia|drets_i_igualtat:drets_humans|medi_ambient:zones_verdes,7|14|20,2000|1401|709,"María Rosa Jover Cerdá, de la AV Malilla, critica el concejal Marí Olano por despreciar la participación ciudadana y denuncia el carácter autoritario del gobierno municipal, defendiendo el derecho constitucional de las asociaciones vecinales a intervenir en decisiones que afectan a la comunidad.","María Rosa Jover Cerdá, de l'AV Malilla, critica el regidor Marí Olano per menysprear la participació ciutadana i denuncia el caràcter autoritari del govern municipal, defensant el dret constitucional de les associacions veïnals a intervenir en decisions que afecten la comunitat."
2026-03-31-003,2026-03-31,2026-03-31,2023-2027,Gregori Fidel Sarmiento,AV Campanar,avv-campanar,av,valenciano,multi_barri,Campanar|L'Amistat|El Saler,Algirós|Campanar|Poblats del Sud,participacio|medi_ambient|urbanisme,participacio:participacio|medi_ambient:zones_verdes|urbanisme:espai_public,7|14|20,709|1401|2000,"Intervención de la AV Campanar reivindicando el papel del movimiento ciudadano en la consecución de espacios verdes, conservación de la costa y recuperación de la identidad histórica de los barrios de Valencia.","Intervenció de l'AV Campanar reivindicant el paper del moviment ciutadà en l'assoliment d'espais verds, conservació de la costa i recuperació de la identitat històrica dels barris de València."
2026-03-31-002,2026-03-31,2026-03-31,2023-2027,Clodoaldo Roldán García,Asociación de Vecinos de Campanar,avv-campanar,av,castellano,barri,Campanar,Campanar,participacio|drets_i_igualtat|serveis_publics,participacio:participacio|participacio:processos_participatius|drets_i_igualtat:drets_humans|serveis_publics:educacio|serveis_publics:salut|serveis_publics:esports,13|14|20,2000|1401|1305,"El representante de la Asociación de Vecinos de Campanar defiende la representatividad de las asociaciones vecinales como entidades sin ánimo de lucro fundamentales para mejorar la calidad de vida, generar cohesión social y canalizar la participación ciudadana, criticando las declaraciones del concejal José Marí Olano que cuestionaban esta representatividad.","El representant de l'Associació de Veïns de Campanar defensa la representativitat de les associacions veïnals com a entitats sense ànim de lucre fonamentals per a millorar la qualitat de vida, generar cohesió social i canalitzar la participació ciutadana, criticant les declaracions del regidor José Marí Olano que qüestionaven esta representativitat."
2026-03-31-001,2026-03-31,2026-03-31,2023-2027,Francisco Guardeño Sáez,Federació d'Associacions de Veïns i Veïnes de València,favv,av,valenciano,multi_barri,La Seu|La Xerea|El Carme|El Pilar|El Mercat|Sant Francesc,Ciutat Vella,urbanisme|drets_i_igualtat|participacio,urbanisme:usos_turistics|urbanisme:habitatge|drets_i_igualtat:drets_humans|participacio:processos_participatius,14|15,1401|1403|1526,"La Federación de Asociaciones de Vecinos rechaza la propuesta de regulación de apartamentos turísticos por considerarla regresiva: mantiene más de 9.000 apartamentos fuera de la ley, no persigue incumplimientos y permite alquileres vacacionales sin restricciones reales, agravando un problema de desvivienda residencial ya saturado especialmente en Ciutat Vella.","La Federació de Veïns rebutja la proposta de regulació d'apartaments turístics per considerar-la regresiva: manté més de 9.000 apartaments fora de la llei, no persegueix incompliments i permet arrendaments vacacionals sense restriccions reals, agreujant un problema de deshabitat residencial ja saturat especialment a Ciutat Vella."
2026-02-24-022,2026-02-24,2026-02-24,2023-2027,Consuelo Sánchez Vivó,Associació de Veïns Cultural i de Consumidors Patraix / Coordinadora Feminista de València,associacio-cultural-consumidors-patraix,cultural,valenciano,ciutat,Patraix,Patraix,drets_i_igualtat|serveis_publics|cultura,drets_i_igualtat:igualtat_de_genere|drets_i_igualtat:drets_humans|drets_i_igualtat:interculturalitat_i_antiracisme|serveis_publics:educacio|serveis_publics:salut|serveis_publics:seguretat|cultura:patrimoni_cultural,2|12|13|19,202|1304|1906|1201,"La Coordinadora Feminista de València denuncia la violencia contra las mujeres, exige cumplimiento de tratados internacionales como el Convenio de Estambul y la CEDAW, y reclama recursos suficientes para el Pacto de Estado contra las violencias machistas, además de exigir que la televisión pública respete la legislación de igualdad.","La Coordinadora Feminista de València denuncia la violència contra les dones, exigeix el compliment de tractats internacionals com el Conveni d'Istanbul i la CEDAW, i reclama recursos suficients per al Pacte d'Estat contra les violències masclistes, a més d'exigir que la televisió pública respecte la legislació d'igualtat."
2026-02-24-021,2026-02-24,2026-02-24,2023-2027,Herminia Virginia Royo García,AV Arrancapins-la Petxina,av-la-petxina,av,castellano,multi_barri,La Petxina|Arrancapins,Extramurs,urbanisme|mobilitat|medi_ambient,urbanisme:espai_public|mobilitat:transit|mobilitat:transport_public|mobilitat:zbe|mobilitat:mobilitat_activa|mobilitat:aparcament|medi_ambient:contaminacio|medi_ambient:emergencies_climatiques,7|10|14,1002|1001|1010|705|1401|1403,"La asociación de vecinos de Arrancapins-la Petxina exige un cambio en las políticas de urbanismo y movilidad del gobierno municipal, criticando el aumento del tráfico y la contaminación, el retraso en la Zona de Bajas Emisiones, y rechazando la conversión del Corredor Verde en una avenida de circulación rodada. Demanda la eliminación del túnel de Pérez Galdós y la peatonalización completa de la supermanzana.","L'associació de veïns d'Arrancapins-la Petxina exigeix un canvi en les polítiques d'urbanisme i mobilitat del govern municipal, criticant l'augment del tràfic i la contaminació, el retard en la Zona de Baixes Emissions, i rebutjant la conversió del Corredor Verd en una avinguda de circulació rodada. Demana l'eliminació del túnel de Pérez Galdós i la peatonalització completa de la supermanzana."
2026-02-24-020,2026-02-24,2026-02-24,2023-2027,José Amparo Real,Associació de Veïns i Comerciants Amics del Carme,associacio-veinats-carme,av,valenciano,multi_barri,Benimaclet|Tres Forques|El Grau|El Carme|La Seu,Benimaclet|Ciutat Vella|L'Olivereta|Poblats Marítims,participacio|urbanisme|drets_i_igualtat,participacio:participacio|participacio:processos_participatius|participacio:transparencia|urbanisme:espai_public|urbanisme:habitatge|urbanisme:patrimoni|drets_i_igualtat:drets_humans,14|20,2000|1403|1401|2015,"José Amparo Real denuncia que el Ayuntamiento ha convertido la participación ciudadana en un trámite formal sin capacidad decisoria real, con ejemplos en varios barrios como Carme, Benimaclet y Grau donde se toman decisiones sin escuchar al vecindario y se restringen intervenciones en las juntas de distrito.","José Amparo Real denuncia que l'Ajuntament ha convertit la participació ciutadana en un tràmit formal sense capacitat decisòria real, amb exemples en diversos barris com Carme, Benimaclet i Grau on es prenen decisions sense escoltar el veïnat i es restringixen intervencions en les juntes de districte."
2026-02-24-019,2026-02-24,2026-02-24,2023-2027,Miguel Sánchez Valdés,Associació Veïnal la Roqueta,associacio-veinal-roqueta,av,castellano,barri,La Roqueta,Extramurs,urbanisme|mobilitat|medi_ambient,urbanisme:espai_public|urbanisme:usos_turistics|mobilitat:mobilitat_activa|medi_ambient:zones_verdes,7|10|14|20,1401|1010|709|2000,"El presidente de la Asociación Veïnal la Roqueta critica la falta de cumplimiento de objetivos urbanísticos y de participación ciudadana en el barrio, denunciando la dilación de proyectos como el bulevar García Lorca y la falta de ejecución de la supermanzana mientras destaca el déficit de zonas verdes y la desigualdad en inversiones municipales.","El president de l'Associació Veïnal la Roqueta critica la falta de compliment d'objectius urbanístics i de participació ciutadana al barri, denunciant la dilació de projectes com el bulevard García Lorca i la falta d'execució de la supermanzana mentre destaca el dèficit de zones verdes i la desigualtat en inversions municipals."
2026-02-24-018,2026-02-24,2026-02-24,2023-2027,Amparo Cifre Lozano,Associació Veïnal de Benimaclet / Plataforma de Entitats Veïnals de Benimaclet,associacio-veinal-benimaclet,av,castellano,barri,Benimaclet,Benimaclet,urbanisme|participacio|economia,urbanisme:espai_public|participacio:participacio|participacio:processos_participatius|economia:comerc_ocupacio,14|20,1403|2000|1401,"La Asociación Vecinal de Benimaclet reclama una participación ciudadana real en los grandes proyectos urbanísticos, denunciando que las entidades vecinales apenas son consultadas en los procesos de toma de decisiones sobre el PAI de Benimaclet, cuyos términos benefician mayoritariamente a la vivienda de renta libre en lugar de vivienda protegida.","L'Associació Veïnal de Benimaclet reclama una participació ciutadana real en els grans projectes urbanístics, denunciant que les entitats veïnals són poc consultades en els processos de presa de decisions sobre el PAI de Benimaclet, els termes del qual beneficien majoritàriament la vivienda de lloguer lliure enfront de la protegida."
2026-02-24-017,2026-02-24,2026-02-24,2023-2027,Josep Benlloch Serrano,AVV Campanar,avv-campanar,av,valenciano,barri,Campanar,Campanar,urbanisme|serveis_publics|participacio,urbanisme:espai_public|urbanisme:patrimoni|serveis_publics:educacio|serveis_publics:esports|participacio:participacio|participacio:transparencia,14|15|20,1403|2000|2015|1526,"El representante de la AVV Campanar denuncia la falta de dotaciones culturales y deportivas en el barrio, la falta de transparencia en la reforma del Plan General, la construcción desigual de edificios y la demora en la implantación de la Universidad Popular prevista para 2027.","El representant de l'AVV Campanar denuncia la manca de dotacions culturals i esportives al barri, la falta de transparència en la reforma del Pla General, la construcció desigual d'edificis i el retard en la implantació de la Universitat Popular prevista per a 2027."
2026-02-24-016,2026-02-24,2026-02-24,2023-2027,Herminia Virginia Royo García,Associació de Mujeres Separadas y Divorciadas del País Valencià,asociacion-mujeres-separadas-divorciadas,altres,castellano,ciutat,,,drets_i_igualtat|persones,drets_i_igualtat:interculturalitat_i_antiracisme|drets_i_igualtat:drets_humans|persones:joventut,2|9|19,1906|900|201,"Representante de la Asociación de Mujeres Separadas y Divorciadas del País Valenciano defiende la regularización de migrantes como cuestión de justicia social e igualdad de derechos, rechazando las falsedades xenófobas y comprometiéndose a continuar la lucha antirracista y feminista.","Representant de l'Associació de Dones Separades i Divorciades del País Valencià defensa la regularització de migrants com a qüestió de justícia social i igualtat de drets, rebutjant les falsedats xenòfobes i comprometent-se a continuar la lluita antirracista i feminista."
2026-02-24-015,2026-02-24,2026-02-24,2023-2027,Noelia Rojas Reyes,Consell de la Joventut de València,consell-joventut-valencia,altres,valenciano,ciutat,,,drets_i_igualtat|persones|cultura,drets_i_igualtat:diversitat|drets_i_igualtat:interculturalitat_i_antiracisme|drets_i_igualtat:drets_humans|persones:joventut|cultura:associacionisme,2|13|19,201|207|1906|1300,"El Consell de la Joventut de València rechaza la moción de Vox sobre regularización de migrantes, argumentando que criminalizar a la población migrante no resuelve los problemas reales de la juventud y que la diversidad es una fortaleza de la ciudad que debe gestionarse desde el respeto a los derechos humanos.","El Consell de la Joventut de València rebutja la moció de Vox sobre regularització de migrants, argumentant que criminalitzar la població migrant no resol els problemes reals de la joventut i que la diversitat és una fortalesa de la ciutat que ha de gestionar-se des del respecte als drets humans."
2026-02-24-014,2026-02-24,2026-02-24,2023-2027,Herminia Virginia Royo García,AV Arrancapins-la Petxina,av-la-petxina,av,castellano,ciutat,La Petxina|Arrancapins,Extramurs,drets_i_igualtat|participacio,drets_i_igualtat:diversitat|drets_i_igualtat:interculturalitat_i_antiracisme|drets_i_igualtat:igualtat_de_genere|drets_i_igualtat:drets_humans|participacio:participacio|participacio:processos_participatius,2|19|20,201|202|1906|2000,"Herminia Virginia Royo García, de la AV Arrancapins-la Petxina, critica duramente la agenda xenófoba y racista de Vox, celebrando la regularización extraordinaria de migrantes y reclamando la legalización completa, derogación de la Ley de Extranjería y el cierre de los CIES.","Herminia Virginia Royo García, de l'AV Arrancapins-la Petxina, critica durament l'agenda xenòfoba i racista de Vox, celebrant la regularització extraordinària de migrants i reclamant la legalització completa, derogació de la Llei d'Estrangeria i el tancament dels CIES."
2026-02-24-013,2026-02-24,2026-02-24,2023-2027,Solange Godoy,FAMPA València,fampa-valencia,educacio,castellano,ciutat,,,drets_i_igualtat|serveis_publics|participacio,drets_i_igualtat:diversitat|drets_i_igualtat:interculturalitat_i_antiracisme|drets_i_igualtat:drets_humans|serveis_publics:educacio|participacio:participacio,2|6|9|19|20,202|207|602|900|1906|2000,"Solange Godoy, en representación de FAMPA València, rechaza una moción que propone discriminación en el acceso a servicios públicos basándose en el origen nacional, argumentando que viola la Constitución y principios de igualdad. Defiende la educación pública inclusiva y rechaza los discursos xenófobos que señalan a las familias migrantes como amenaza.","Solange Godoy, en representació de FAMPA València, rebutja una moció que proposa discriminació en l'accés a serveis públics basada en l'origen nacional, argumentant que viola la Constitució i principis d'igualtat. Defensa l'educació pública inclusiva i rebutja els discursos xenòfobs que señalen les famílies migrants com a amenaça."
2026-02-24-012,2026-02-24,2026-02-24,2023-2027,Francisco Javier Tamames Ausina,FAMPA València,fampa-valencia,educacio,mixt,ciutat,,,serveis_publics|economia|drets_i_igualtat,serveis_publics:educacio|economia:agricultura|drets_i_igualtat:interculturalitat_i_antiracisme|drets_i_igualtat:drets_linguistics,2|4|6|9,602|400|900|207,"El representante de FAMPA València critica el discurso alarmista de una moción anterior, defendiendo que no es necesario restringir derechos laborales. Reclama mayor atención al mantenimiento de la escuela pública en lugar de propuestas sin sentido.","El representant de FAMPA València critica el discurs alarmista d'una moció anterior, defensant que no és necessari restringir drets laborals. Reclama més atenció al manteniment de l'escola pública en lloc de propostes sense sentit."
2026-02-24-011,2026-02-24,2026-02-24,2023-2027,María Fernanda León,Orriols Conviu,orriols-conviu,plataforma,castellano,barri,Els Orriols,Rascanya,drets_i_igualtat|serveis_publics|participacio,drets_i_igualtat:interculturalitat_i_antiracisme|drets_i_igualtat:drets_humans|drets_i_igualtat:diversitat|serveis_publics:serveis_socials|participacio:participacio|participacio:processos_participatius,9|13|14|19,1906|900|1401|1302,Orriols Conviu reclama que las decisiones municipales tengan en cuenta la realidad de los barrios vulnerables y que la regularización administrativa se considere como un mecanismo de justicia social que facilita la integración y la convivencia intercultural.,Orriols Conviu demana que les decisions municipals tinga en compte la realitat dels barris vulnerables i que la regularització administrativa es considere com un mecanisme de justícia social que facilita la integració i la convivència intercultural.
